ID,username,Time,lat,long,comment,,,,
1.25228E+18, _HisCreation, Mon Apr 20 17:00:24 +0000 2020,-76.355918,36.841764, Almost time to get ready for this place they call a job ,,,,
1.25228E+18, david_hemond, Mon Apr 20 17:00:24 +0000 2020,-72.640867,41.987733, Yes. Consider the courage required to treat those in the covid wards - seeing unavoidably the devastation it wreaks… https://t.co/61AyrKPer8 ,,,,
1.25228E+18, oscarangulo_, Mon Apr 20 17:00:25 +0000 2020,-80.271087,25.699448, @JohnLynch49ers @SAPSports @MicrosoftTeams @EB_CoachLo ,,,,
1.25228E+18, tropicalsteve, Mon Apr 20 17:00:25 +0000 2020,-80.249773,26.270261, Yes ,,,,
1.25228E+18, Cloen_Kevin, Mon Apr 20 17:00:25 +0000 2020,-82.114383,41.360839, A MOB SCENE IN THE INDIANS THIRD BASE DUGOUT ,,,,
1.25228E+18, Mjandersrn, Mon Apr 20 17:00:25 +0000 2020,-91.618471,41.754823, @crnajulie @RandyMooreCRNA There is so much wrong with this I don’t even know where to begin!  #dontdoitthisway ,,,,
1.25228E+18, judithhle_, Mon Apr 20 17:00:24 +0000 2020,-96.761753,32.819858, @KEEMSTAR #DramaAlert $Judithhle https://t.co/1QgLZGdFgj ,,,,
1.25228E+18, DaRealFLFlash, Mon Apr 20 17:00:25 +0000 2020,-84.266174,30.476216, @CoachJCovington Do you need Track SPEED at the WR position? If yes, then I got you!Jr Season Highlights… https://t.co/MT4xMAEOlO ,,,
1.25228E+18, ReactsRoyalty, Mon Apr 20 17:00:25 +0000 2020,-97.552161,35.482844, It’s definitely took awhile but I can say I’m over the Kobe death 😌 freak accident and he blessed my childhood with countless memories ,,,,
1.25228E+18, lazehancaster, Mon Apr 20 17:00:25 +0000 2020,-78.657837,35.843981, @ChrisCorchJr13 3????  That’s the worst logo in the history of sports.  #3headedratlogo ,,,,
1.25228E+18, Goal__Diggah, Mon Apr 20 17:00:25 +0000 2020,-77.604684,41.117936, Well they have a legendary sexual reputation but it’s trash to me ,,,,
1.25228E+18, blockaflockafla, Mon Apr 20 17:00:25 +0000 2020,-98.540651,29.417501, @cutegiraffe6 @bestcouple23181 💞💋🔥🍆😻😽🙌👐🙌 ,,,,
1.25228E+18, MarcoCeee_, Mon Apr 20 17:00:25 +0000 2020,-81.367773,28.501678, @fcodispoti @n0slek Ever since he started smoking he has to publically let the world know every day that hes baked ,,,,
1.25228E+18, MickeyP325, Mon Apr 20 17:00:25 +0000 2020,-76.546654,44.539712, @Markfry809 Sadly these images are seen all over the world and people believe this is who America is. Not a good lo… https://t.co/TUZthVKXxu ,,,,
1.25228E+18, JulieLinden5, Mon Apr 20 17:00:25 +0000 2020,-77.504964,37.610575, @ashlie_weeks @DuarfFred You’re so kind https://t.co/0hU7yu3lTv ,,,,
1.25228E+18, ThePradaPastor, Mon Apr 20 17:00:25 +0000 2020,-73.849441,40.850347, @Longrev4 @newyscruggs See how defensive you got lol and you really wanna claim bill Clinton with that crime bill..… https://t.co/UxcX9HkhkU ,,,,
1.25228E+18, iamsaritaaaa, Mon Apr 20 17:00:25 +0000 2020,-96.991828,33.042437, I’ve never fully believed it wasn’t my fault what happened to me. In the back of my head I always thought it was be… https://t.co/Uo0eUDajox ,,,,
1.25228E+18, brokenfieldrun, Mon Apr 20 17:00:25 +0000 2020,-118.411907,34.020789, @therealgunitg Try our new single “MOUTHS” if you dig sad dance party type music ☔️https://t.co/RD05CzVNfE ,,,,
1.25228E+18, GhoulGuard, Mon Apr 20 17:00:25 +0000 2020,-73.968542,40.780709, Idk why men are telling women to smile more; most people have horrific nightmarish smiles ,,,,
1.25228E+18, eaglesnest365, Mon Apr 20 17:00:25 +0000 2020,-77.604684,41.117936, @PhillyFan1551 @LaneJohnson65 Enjoy!!! ,,,,
1.25228E+18, OMGxCallMeJUDY, Mon Apr 20 17:00:26 +0000 2020,-84.532133,33.948124, @TOKYOxVANITY bitchhhhh goldfish . ,,,,
1.25228E+18, QUEEN_RAEBAE, Mon Apr 20 17:00:26 +0000 2020,-86.680738,32.576227, Finally registered for Summer classes. Now I’m about to workout . ,,,,
1.25228E+18, josexraw, Mon Apr 20 17:00:25 +0000 2020,-118.156711,33.809172, @SOLELINKS Thanks @SOLELINKS https://t.co/Bp20TRlCGW ,,,,
1.25228E+18, theejazzinicole, Mon Apr 20 17:00:26 +0000 2020,-83.099288,42.352787, Being and introvert is how I protect my energy, having extrovert characteristics is how I ENJOY life! ,,,
1.25228E+18, SweetBliss_, Mon Apr 20 17:00:26 +0000 2020,-82.306723,27.827367, 4/20 and im outside smoking 😁 ,,,,
1.25228E+18, igTXSalazar, Mon Apr 20 17:00:26 +0000 2020,-95.446486,29.838495, @michaelmp3 @_maadvillainy_ Rewatch Cowboys-49ers in 1995 at Texas Stadium. Deion did not follow Jerry Rice. https://t.co/uK5u54qRhm ,,,,
1.25228E+18, aparnamuk, Mon Apr 20 17:00:26 +0000 2020,-118.411907,34.020789, @KTharase Also, I love my senator as a Cali returnee and have had lovely interactions with her mother-in-law! ,,,
1.25228E+18, madison_mariee7, Mon Apr 20 17:00:26 +0000 2020,-75.38646,39.145024, the TEA 😭☕️ ,,,,
1.25228E+18, bblettuce, Mon Apr 20 17:00:26 +0000 2020,-115.223125,36.232915, I wish my friends played animal crossing 😭 we would have a BLASTTTT ,,,,
1.25228E+18, AziziGibson, Mon Apr 20 17:00:26 +0000 2020,-118.411907,34.020789, It’s only right I drop the track last and back cover today ? ,,,,
1.25228E+18, KelseyFGold, Mon Apr 20 17:00:26 +0000 2020,-118.411907,34.020789, @Fangreaper @MidnightsCos @c_d_2000 @fatangryqueer @BabyPowdahh How do you expect people to do that when there’s no… https://t.co/xyFODiJzSC ,,,,
1.25228E+18, DreLewis2589, Mon Apr 20 17:00:26 +0000 2020,-118.411907,34.020789, @BrianBp626 What!?!?!! ,,,,
1.25228E+18, BrunoAgustoni, Mon Apr 20 17:00:26 +0000 2020,-77.014398,38.898603, Boris zafó del coronavirus pero no se si zafa de los costos políticos ,,,,
1.25228E+18, JackieCreech4, Mon Apr 20 17:00:26 +0000 2020,-79.420865,38.003376, #StopAiringTrumpBriefings ,,,,
1.25228E+18, 909coffeejunkie, Mon Apr 20 17:00:26 +0000 2020,-117.65101,34.0994, I don't leave the house often, but when I do it's to support my favorite coffee shop. Now is the time to support lo… https://t.co/rOjRitOGk8 ,,,
1.25228E+18, fikisports, Mon Apr 20 17:00:26 +0000 2020,-118.48042,34.022688, @PabloAlsina Plenty to add to your home set! https://t.co/aJrFsP3rjn https://t.co/j4B6aL5ijv ,,,,
1.25228E+18, HCGmuseum, Mon Apr 20 17:00:26 +0000 2020,-79.05159,33.841847, Did you know that wild horses lived in South Carolina during the last Ice Age? Fossils provide our evidence, such a… https://t.co/sQu1WdrskX ,,,
1.25228E+18, thatguycopey, Mon Apr 20 17:00:26 +0000 2020,-80.72306,43.135954, Oops! ,,,,
1.25228E+18, kspab5524, Mon Apr 20 17:00:26 +0000 2020,-105.55089,38.997936, @LisaVery29 @breaultjean @MarcZenn @kick1972 Lisa,  you're an educator,  so you've contributed to the dumbing down, no? ,
1.25228E+18, DreamChasing_20, Mon Apr 20 17:00:26 +0000 2020,-93.955918,29.901544, LMFAOOOOOOOOOOOO ,,,,
1.25228E+18, MetalMusicMan_, Mon Apr 20 17:00:27 +0000 2020,-90.517684,38.793047, How y'all doing on this spring-ie Monday? ,,,,
