1252705792517701632, erickstevens82, Tue Apr 21 21:08:29 +0000 2020, -83.804475, 27.698682, @BelowAverageOPS Listen.   LISTEN.  I just don’t want to imagine Brady forcing targets to Gronk’s lumbering ass.  I… https://t.co/mxe3dzSpFt 
1252705792815501313, BLACKCO80261580, Tue Apr 21 21:08:29 +0000 2020, -89.922029, 35.133521, @joy03108670 @Quideb65 @parscale @SpeakerPelosi Send some ahead for trump 
1252705793268428802, DarienLong1, Tue Apr 21 21:08:29 +0000 2020, -78.657837, 35.843981, Just cause we quarantine doesn’t mean that’s an excuse not to workout 🤷🏽‍♂️🤷🏽‍♂️ 
1252705793406795784, AptDataServices, Tue Apr 21 21:08:29 +0000 2020, -95.446486, 29.838495, Looking forward to it! 
1252705792890998784, ltpuddin, Tue Apr 21 21:08:29 +0000 2020, -76.412963, 39.346576, The old man of the house....does he seem mad? 😂😂😂 @FireWife_0624 https://t.co/xEu4CmLug1 
1252705793679536130, BrodySmoot, Tue Apr 21 21:08:30 +0000 2020, -85.182475, 32.804479, @Coach_Ashcraft Follow back Coach?? 
1252705793872482304, fernigc101, Tue Apr 21 21:08:30 +0000 2020, -98.317683, 26.208802, @pulte has anyone heard from Bill? Is he okay? 
1252705794119929856, cantfindlulu, Tue Apr 21 21:08:30 +0000 2020, -80.249773, 26.270261, yoooo guys go hit up my bestest friend she’s made me the dopest shit!! 
1252705794665013250, r__simone, Tue Apr 21 21:08:30 +0000 2020, -80.172410, 32.999979, @TyeaseMone_ @wifitokyo He really don’t care about teaching so he do any mf thing 
1252705794711261187, GarretNagle, Tue Apr 21 21:08:30 +0000 2020, -80.846785, 35.209059, Any game women in Charlotte n.c. ? 
1252705795348799491, chaarese, Tue Apr 21 21:08:30 +0000 2020, -74.985076, 39.710994, something about people calling me irritates me . why you think you can just call me 😳 
1252705795130773505, MelissaLGoforth, Tue Apr 21 21:08:30 +0000 2020, -80.926628, 33.631140, Thanks, @SCforEd! 👩‍🏫👨‍🏫🗳https://t.co/VfCwUsMnFt#voteabsentee #scpol #scpolitics #dumspirospero #scfored #sc2020… https://t.co/QK8U7nLxnj 
1252705795860508677, Powerwagonusa, Tue Apr 21 21:08:30 +0000 2020, -111.997441, 40.678703, @TimJDillon @DoorDash Delivering orders to the wrong address must also be a top priority too 
1252705796007346183, MissyMaye23, Tue Apr 21 21:08:30 +0000 2020, -97.552161, 35.482844, 🤤 
1252705796670054401, DranceBoogie, Tue Apr 21 21:08:30 +0000 2020, -71.421832, 41.817084, @mcaction2442 More than usual!! 
1252705796779098116, BillyGomila, Tue Apr 21 21:08:30 +0000 2020, -91.003814, 30.403719, @jake_nazar @RKalland You gotta have a teammate that's willing to hit the deck and count the 3 
