id, username, created_at, lng, lat, text
1251670581545746441, Wsbb1311, Sun Apr 19 00:34:56 +0000 2020, -75.573863, 39.967324, Everybody out here wanna see me locked up 🥴 
1251670581432537090, jcvalvi10, Sun Apr 19 00:34:56 +0000 2020, -109.841790, 27.713653, 🤣🤣🤣🤣 https://t.co/4XNnpZSZef 
1251670582040694795, ready2spaghetti, Sun Apr 19 00:34:56 +0000 2020, -92.131274, 34.751936, Watch ReKinection's Virtual festival with me on Twitch! https://t.co/gIC3mez11M 
1251670582162317315, Jonas38173308, Sun Apr 19 00:34:56 +0000 2020, -96.761753, 32.819858, @SaysHummingbird I chose the eagle 
1251670582191677446, MykenzieLayne, Sun Apr 19 00:34:56 +0000 2020, -98.186191, 31.066575, @colbydenbow4 when quarantine is over?? And you’re less drunk than the last time I danced with you? 
1251670582254538755, carocarbajall, Sun Apr 19 00:34:56 +0000 2020, -98.244083, 26.111549, @vivianchavez342 thanks pretty girl! &lt;3 
1251670581717676032, dvnlxpz, Sun Apr 19 00:34:56 +0000 2020, -74.237178, 41.028069, We’re gonna be in quarantine through August bc of these damn protesters aren’t we https://t.co/RQf9SPf0Fc 
1251670582585769984, dreaelizabethh, Sun Apr 19 00:34:56 +0000 2020, -117.363067, 34.531222, @str33tdweller gn LMFAO 
1251670582585954304, zatannsb, Sun Apr 19 00:34:56 +0000 2020, -76.911261, 38.958244, my heart still hurts, how do you make it stop 
1251670582271320064, mobgalxby, Sun Apr 19 00:34:56 +0000 2020, -84.433106, 33.767195, Tay✨ https://t.co/XXwBLPWAnm 
1251670582745325570, KaReC_8, Sun Apr 19 00:34:56 +0000 2020, -76.295896, 36.763216, @RakestrawJeff SMFH 
1251670582871166978, Serena_Staten, Sun Apr 19 00:34:56 +0000 2020, -83.143393, 40.040813, I think we found our apartment today... 
1251670582887931904, JasonC23, Sun Apr 19 00:34:56 +0000 2020, -115.234435, 36.018805, @saxetniniltiac Now I’m second guessing myself! 🤦 
1251670583021932545, RyanTrabuco, Sun Apr 19 00:34:56 +0000 2020, -117.104989, 32.810012, @dougporter506 I was thinking that same thing earlier... can you inagine the ballot for this year’s Darwin Awards?… https://t.co/xGzF9Sdlx5 
1251670583630233605, eBaySeller2019, Sun Apr 19 00:34:56 +0000 2020, -81.096316, 29.289812, https://t.co/NCwEAwycBz 
1251670583785304064, cheesy_papi, Sun Apr 19 00:34:56 +0000 2020, -104.789327, 38.888519, If the pussy ain’t greasy I don’t want it 
1251670584154603527, TheMattLyman, Sun Apr 19 00:34:56 +0000 2020, -122.339000, 47.468700, Huge shout out to clonestudiorecords for delivering some new music for us today! Great guy, great store. #shoplocal… https://t.co/0s5frN7ieg 
1251670584561303552, BeautyPirate, Sun Apr 19 00:34:56 +0000 2020, -97.110573, 33.222409, #quarantinelife Alone Together means we're never alone...#myhusbandisbetterthanyours #cuddles #staysafe… https://t.co/assKM3qm3x 
1251670584959791106, _AXIII_, Sun Apr 19 00:34:57 +0000 2020, -122.330602, 47.614817, test driving a new lifestyle 
1251670585123495937, miaaarenas_, Sun Apr 19 00:34:57 +0000 2020, -97.935192, 29.895606, @sarahleeeeaalll Yes this too 😭 
1251670585291268098, odouglasj, Sun Apr 19 00:34:57 +0000 2020, -88.313690, 42.086759, @GeekVibesNation @rickyvalero_ @MCDI_Jacob @KING_FISH @TC_Stark @AJ_GeekVibes @Joel_J27 @JamesGavsie… https://t.co/yeJN0yykef 
1251670585811382279, Fasiannnn, Sun Apr 19 00:34:57 +0000 2020, -77.014398, 38.898603, done arguing about my fucking feelings bro thats lame 
1251670586037866502, JuliaHellwege, Sun Apr 19 00:34:57 +0000 2020, -96.927022, 42.781104, @LaceyNoel77 @motheroftheses Absolutely! 
1251670586566291461, PennieAustin_, Sun Apr 19 00:34:57 +0000 2020, -95.446486, 29.838495, Fuck I'm bored 
1251670586646020098, Miss_Angel_Baby, Sun Apr 19 00:34:57 +0000 2020, -79.759591, 43.724971, That Purple Lacefront Is 🔥#BlackAfNetflix 
1251670585970700290, atulsubodh, Sun Apr 19 00:34:57 +0000 2020, -71.683502, 42.036939, You mean these people?! https://t.co/yF0ZW05bJs 
1251670586461470721, clarke_kirk, Sun Apr 19 00:34:57 +0000 2020, -73.948775, 40.655138, @lifeofjaykstone lol ol me ? https://t.co/jknRZrboWb 
1251670586981580803, LatroyCount, Sun Apr 19 00:34:57 +0000 2020, -73.022108, 41.566578, https://t.co/Pa20chzvIv 
1251670587560386561, mobgalxby, Sun Apr 19 00:34:57 +0000 2020, -84.433106, 33.767195, @tayedathickest 
1251670587984019460, flagg_chris, Sun Apr 19 00:34:57 +0000 2020, -93.389864, 41.938228, @Flagganomics101 Awesome. Mom has cookies for you 
1251670587363094528, cliffordjtaylor, Sun Apr 19 00:34:57 +0000 2020, -111.866554, 40.407070, Waddya say when this is all over we do a t-bell tweet up?? https://t.co/7wULpTKWX2 
1251670589116420096, _Gabriela_97, Sun Apr 19 00:34:58 +0000 2020, -80.132962, 25.816966, I was about to fuck this man and then he told me he needed help putting a condom on since he’s never used one he wa… https://t.co/nNJ8EUb3Qx 
1251670589569486848, ___kaitie, Sun Apr 19 00:34:58 +0000 2020, -90.329325, 38.799436, If “I’m not sorry for what I did, I’m sorry for what it’s causing” was a person. 
1251670589980409856, Karskeeper, Sun Apr 19 00:34:58 +0000 2020, -79.850739, 40.341779, Shit I guess I’m single now 🥴 
1251670589686898688, CEASAR, Sun Apr 19 00:34:58 +0000 2020, -79.272570, 43.629311, Ilhan Omar May Pay Husband's Political Firm Over $1M By End Of Year https://t.co/kDOF3SUch4. It’s going to be great… https://t.co/5WQ4eg5aHe 
1251670589951049728, panmermaid, Sun Apr 19 00:34:58 +0000 2020, -76.865983, 38.852764, @imanshalom i hate cole slaw 
1251670589934153729, ChrisTHEBLUEONE, Sun Apr 19 00:34:58 +0000 2020, -118.875550, 34.848305, @CovfefeKatie 🚚💨📦📬🔊 Honk ! Honk ! 😎✌ 
1251670590458671104, Vincent_Saia24, Sun Apr 19 00:34:58 +0000 2020, -96.672767, 33.112317, If the Jets are gonna get rid of @Prez it better be for at least the Redskins 2nd overall THAT is MAYBE what he is… https://t.co/YmCTP7VBKz 
1251670590861316097, _laaysiaa, Sun Apr 19 00:34:58 +0000 2020, -115.061127, 36.184754, it’s always sum 
1251670590433476608, FunnyComicGuy, Sun Apr 19 00:34:58 +0000 2020, -97.754724, 30.323346, This was a fun all female #SixFanartsChallenge definitely will do another. All done in @Procreate 👍🏾 https://t.co/2jeoOCQPkO 
1251670590974550016, freemandaddy5, Sun Apr 19 00:34:58 +0000 2020, -79.888679, 36.031055, Freeman Loves You All! @ Freeman Kingdom https://t.co/AomiRQ3o2z 
1251670590966190080, TRUKBOY_5, Sun Apr 19 00:34:58 +0000 2020, -92.084444, 30.528056, Them hands Good Swipe them pictures _____________________________________________________Let’s book your appointme… https://t.co/X0AydRDqYR 
1251670591440072705, Callmedae_, Sun Apr 19 00:34:58 +0000 2020, -80.244984, 36.087169, Amen 🙏🏾 
1251670591578542080, FatimaRL9, Sun Apr 19 00:34:58 +0000 2020, -100.293591, 25.641718, Un mes para ver a mis papás🥰🥰🥰🥰🥰❤ ya quiero!!!!!!! 
1251670591746330625, thakaywayxo, Sun Apr 19 00:34:58 +0000 2020, -95.446486, 29.838495, @alorajane_ Thank u bby 
1251670592044109824, MelvitoMartinez, Sun Apr 19 00:34:58 +0000 2020, -118.411907, 34.020789, 😂😂😂 
1251670592153141253, LiberalLeah, Sun Apr 19 00:34:58 +0000 2020, -81.680759, 28.855843, Thank you, @GlblCtzn for bringing us all #TogetherAtHome ! The world needs this. 💙😷 
1251670592169955330, sadiedog77, Sun Apr 19 00:34:58 +0000 2020, -103.632396, 48.168831, @liferips @yuckybangs Then go for it! 
1251670592308248583, tcstowe, Sun Apr 19 00:34:58 +0000 2020, -100.076888, 31.168893, @peet2 @3rdDegreeNet Peter, I’m assuming you’re thinking he won’t show up in July as anticipated? 
1251670592371253249, dmjhtx, Sun Apr 19 00:34:58 +0000 2020, -95.446486, 29.838495, When the kitchen is clean at the end of the night that means the kitchen is closed #growingupblack 
1251670592937435137, Flynnertwit, Sun Apr 19 00:34:58 +0000 2020, -87.732013, 41.833585, @ChiSoxFanMike I hope @TimAnderson7 is better than Alexi when we look back in ten years! 
1251670593491161089, DwestTheMaster, Sun Apr 19 00:34:59 +0000 2020, -97.114771, 33.202495, @DerronB_ @WILLTHEWISE1 @MalacheLache @BrysonColeTX @JayeUnlimited @TajaDMusic @KwotaB @mackdaddypuff @itsevanjones… https://t.co/tFGpRswQfR 
1251670593625370624, g_mitchum, Sun Apr 19 00:34:59 +0000 2020, -83.173867, 32.678207, @schwelo @alliecine @robgokee @PairingsEd @TheViewFromLL2 @GmorningToMe @MrJonCryer @CuttingRoomMRB @lexicorro… https://t.co/0DcEJXWnQe 
1251670594023809025, doug_TheBroke, Sun Apr 19 00:34:59 +0000 2020, -73.199118, 41.185674, @RobJonesSr @marousaaa Stop lying I’m broke .. u just don’t want me to be rich like u 
1251670594032144385, astrostarbright, Sun Apr 19 00:34:59 +0000 2020, -83.804475, 27.698682, @Astro_Flow #womeninspace https://t.co/7JxGr9jlyI https://t.co/8N8a4dXtgl 
1251670594556395520, _NIYAgra_falls, Sun Apr 19 00:34:59 +0000 2020, -76.620482, 39.284713, somebody finally fcking said it french toast ovr anything else 🤷🏾‍♂️ 
1251670595026194432, oswegos1, Sun Apr 19 00:34:59 +0000 2020, -76.501448, 43.461226, @mannyNYT These are @GOP funded protests. 
1251670595516809217, rhurley55, Sun Apr 19 00:34:59 +0000 2020, -122.958344, 49.239654, ☝️🌎♥️#OneWorldTogetherAtHome 
1251670595609047040, glitr_4_bkfst, Sun Apr 19 00:34:59 +0000 2020, -123.022450, 45.005514, how single are you👀:1. Depending on who, decline or talk2. Hard no3. J, but that's changing4. Loyal af5. 🔥🔥6… https://t.co/xcLUB37KHz 
1251670596162924545, Nupe_4life, Sun Apr 19 00:34:59 +0000 2020, -97.116784, 32.573549, “Ma’am i make $7.50 an hour..do you want sprinkles or not?” 
1251670596905308161, LocalDeplorable, Sun Apr 19 00:34:59 +0000 2020, -80.233244, 26.624907, @JoeBiden 😂😂😂😂 
1251670597266034688, DJDaaku, Sun Apr 19 00:34:59 +0000 2020, -79.272570, 43.629311, @TrexPushups 👀👀👀 
1251670597630930946, cassydawn429, Sun Apr 19 00:35:00 +0000 2020, -81.516751, 41.080877, Does the crazy double texting obsessed girl get her guy or is it as appalling to men as it is to me? My pride just won’t let me do it🤔 
1251670597643448327, loveyahbrooke, Sun Apr 19 00:35:00 +0000 2020, -71.416775, 41.955859, not gonna lie, Oh Canada is a pretty dope tune 
1251670597349736450, DarkfireCapital, Sun Apr 19 00:34:59 +0000 2020, -117.104989, 32.810012, @ConsensusContr1 Given their track record, I’m guessing most people are ignoring them... https://t.co/BccnEM70oU 
1251670597601460226, whojhouse, Sun Apr 19 00:35:00 +0000 2020, -73.258713, 42.450811, The amount of stupid people in this country is staggering. 
1251670597249183744, NappyHair_Jack, Sun Apr 19 00:34:59 +0000 2020, -80.294893, 26.156619, https://t.co/67la2GDeA7 
1251670598322970627, Jaaberwocky_, Sun Apr 19 00:35:00 +0000 2020, -72.592382, 46.360669, C’est faux je mens, il faut que j’achète des vêtements pour Cuba 
1251670598247424001, AntLive617, Sun Apr 19 00:35:00 +0000 2020, -71.088712, 42.313670, @ginnna_g https://t.co/4ytOU3loTJ 
1251670598587203587, NathanPClark, Sun Apr 19 00:35:00 +0000 2020, -80.846785, 35.209059, @GlenBirnbaum @TaxNotes I don't know whether to laugh or cuss at you 
1251670598918561792, HomefieldApparl, Sun Apr 19 00:35:00 +0000 2020, -86.142922, 39.779562, @MikePradaNBA thanks for the share, Mike. have always enjoyed your work! 
1251670599031820288, ZariaChenai, Sun Apr 19 00:35:00 +0000 2020, -76.071084, 43.075114, He said 5 years a year and a half ago... a lot has changed... and plenty is still changing and it’s been damn near 4 years 🙃😶😯 
1251670599065194496, boneism, Sun Apr 19 00:35:00 +0000 2020, -122.330602, 47.614817, @neulbaram @PaprikaSix 
1251670599358992384, AmandaSoprano, Sun Apr 19 00:35:00 +0000 2020, -90.011008, 29.982601, @SikhProf This is horrific. Who signed off on this over there? 
1251670599593754636, LindaMSykes2, Sun Apr 19 00:35:00 +0000 2020, -70.873345, 41.625172, @katcatbee @realDonaldTrump VOTE BLUE! 
1251670599543468035, sarmmont, Sun Apr 19 00:35:00 +0000 2020, -79.616073, 43.555244, Why do boys always wanna hang out at night time? (Rhetorical question) like excuse me... Can we hangout in the morn… https://t.co/z3jRViYm5g 
1251670599979728896, byrnedout42, Sun Apr 19 00:35:00 +0000 2020, -90.011008, 29.982601, Ummmmm 
1251670600118145024, albodden, Sun Apr 19 00:35:00 +0000 2020, -88.525980, 30.423106, @Newsweek They aren’t allowed to hear the truth.  They are blasted by almost every media outlet that he was slow to… https://t.co/szAhdK3Qkw 
1251670600633815040, tomcbeatz, Sun Apr 19 00:35:00 +0000 2020, -159.500833, 22.206667, "Wise Eyed Shut" 👀Available Everywhere.https://t.co/bWpTvNawCO~~~~~~~~~~~~#rapbeats #hiphopbeats #trapbeats… https://t.co/xhcUZVfLSP 
1251670601007333377, Airborn781, Sun Apr 19 00:35:00 +0000 2020, -92.436774, 38.304558, We are still waiting for the DVD of Grease to arrive my daughter and her girlfriend must have hit a detour 
1251670600860536835, Jessicaa990, Sun Apr 19 00:35:00 +0000 2020, -83.173867, 32.678207, Mf facts 
1251670601061871616, LordsFilth, Sun Apr 19 00:35:00 +0000 2020, -73.948775, 40.655138, LMFAOOOOO should’ve known that shit was bouta be bad the second this man said I couldn’t post him 😂 
1251670601367838720, meredamn, Sun Apr 19 00:35:00 +0000 2020, -119.306608, 37.269176, @alannakeenan8 
1251670602378665984, JthaTruth5, Sun Apr 19 00:35:01 +0000 2020, -117.320879, 33.226316, @HonestLeYo @secretbbylove 😂🤣😂🤣😂 
1251670602504642568, AdamLawsonWBTV, Sun Apr 19 00:35:01 +0000 2020, -80.846785, 35.209059, @Chandler_TV @netflix Gonna watch the first episode tonight. So nervously excited 
1251670602676609024, ccrabbypatties, Sun Apr 19 00:35:01 +0000 2020, -100.076888, 31.168893, Wow amy poehler looks beautiful 😍 
1251670602689269761, MarlitosF81, Sun Apr 19 00:35:01 +0000 2020, -73.829384, 40.912499, @jayare914 @UOLEsporte @EuclidesFla Pra ontem! Marlim já tinha divulgado isso uns 10 days ago lol 😂 
1251670603112820737, TerryMcGuirkFL, Sun Apr 19 00:35:01 +0000 2020, -82.324702, 28.224502, @Trishanduke Thank you. You too. We are playing by the rules. It's all we can do to mitigate those who don't. 
1251670603494576128, FinegirlJae, Sun Apr 19 00:35:01 +0000 2020, -83.804475, 27.698682, Im definitely gonna be more active on campus, I just don’t like going places by myself 
1251670603045756928, Enginethatcan, Sun Apr 19 00:35:01 +0000 2020, -98.339928, 29.555818, @KatRamsland https://t.co/8b4Lq3A5Sb 
1251670603301621761, SierraN5487, Sun Apr 19 00:35:01 +0000 2020, -83.804475, 27.698682, Quit asking me to join your fucking board! When you catch a money laundering charge don’t be crying! 
1251670603700023296, MasonTBecker, Sun Apr 19 00:35:01 +0000 2020, -88.851892, 42.918726, Florida Man, you never disappoint. 
1251670604312387584, nicoletakayama, Sun Apr 19 00:35:01 +0000 2020, -81.402347, 28.299371, teu cu gente sério eu consigo viver sem carne agora sem sushi... 
1251670604497014785, VORTEXJeff, Sun Apr 19 00:35:01 +0000 2020, -88.200334, 40.115085, Seeing a lot of tweets recently about face coverings, but if you've looked recently, availability is severely limit… https://t.co/TduonxdNXw 
1251670604681527299, MKikead, Sun Apr 19 00:35:01 +0000 2020, -97.347574, 37.552066, @PascoSheriff A Spoonful of sugar.                                Chocolate Chip Banana Pancakes 🥞 
1251670605105180675, CorneauMcorneau, Sun Apr 19 00:35:01 +0000 2020, -74.198240, 45.878190, @isabelleklea14 Je voulais oubliais pour 2 heures le maudit virus bonne soirée 
